,zone,x,y
2020-09-01,Amstetten,0.0,4.0
2020-09-02,Amstetten,0.0,1.0
2020-09-03,Amstetten,0.0,1.0
2020-09-04,Amstetten,0.0,1.0
2020-09-05,Amstetten,1.0,-6.0
2020-09-06,Amstetten,0.0,
2020-09-07,Amstetten,4.0,3.0
2020-09-08,Amstetten,1.0,1.0
2020-09-09,Amstetten,1.0,-1.0
2020-09-10,Amstetten,2.0,-1.0
2020-09-11,Amstetten,2.0,-3.0
2020-09-12,Amstetten,2.0,-6.0
2020-09-13,Amstetten,1.0,
2020-09-14,Amstetten,1.0,-3.0
2020-09-15,Amstetten,1.0,-3.0
2020-09-16,Amstetten,2.0,-3.0
2020-09-17,Amstetten,2.0,0.0
2020-09-18,Amstetten,1.0,-1.0
2020-09-19,Amstetten,0.0,-3.0
2020-09-20,Amstetten,0.0,
2020-09-21,Amstetten,0.0,0.0
2020-09-22,Amstetten,2.0,0.0
2020-09-23,Amstetten,3.0,2.0
2020-09-24,Amstetten,3.0,1.0
2020-09-25,Amstetten,2.0,4.0
2020-09-26,Amstetten,2.0,4.0
2020-09-27,Amstetten,0.0,0.0
2020-09-28,Amstetten,1.0,4.0
2020-09-29,Amstetten,6.0,3.0
2020-09-30,Amstetten,4.0,2.0
2020-10-01,Amstetten,4.0,0.0
2020-10-02,Amstetten,19.0,1.0
2020-10-03,Amstetten,5.0,1.0
2020-10-04,Amstetten,1.0,-2.0
2020-10-05,Amstetten,5.0,1.0
2020-10-06,Amstetten,4.0,1.0
2020-10-07,Amstetten,6.0,1.0
2020-10-08,Amstetten,13.0,2.0
2020-10-09,Amstetten,4.0,1.0
2020-10-10,Amstetten,3.0,2.0
2020-10-11,Amstetten,7.0,4.0
2020-10-12,Amstetten,6.0,2.0
2020-10-13,Amstetten,9.0,3.0
2020-10-14,Amstetten,8.0,4.0
2020-10-15,Amstetten,16.0,3.0
2020-10-16,Amstetten,17.0,4.0
2020-10-17,Amstetten,31.0,4.0
2020-10-18,Amstetten,14.0,3.0
2020-10-19,Amstetten,24.0,2.0
2020-10-20,Amstetten,18.0,3.0
2020-10-21,Amstetten,19.0,2.0
2020-10-22,Amstetten,55.0,3.0
2020-10-23,Amstetten,38.0,3.0
2020-10-24,Amstetten,45.0,4.0
2020-10-25,Amstetten,33.0,1.0
2020-10-26,Amstetten,42.0,20.0
2020-10-27,Amstetten,54.0,6.0
2020-10-28,Amstetten,32.0,5.0
2020-10-29,Amstetten,95.0,8.0
2020-10-30,Amstetten,60.0,9.0
2020-10-31,Amstetten,62.0,4.0
2020-11-01,Amstetten,94.0,3.0
2020-11-02,Amstetten,109.0,8.0
2020-11-03,Amstetten,57.0,9.0
2020-11-04,Amstetten,98.0,10.0
2020-11-05,Amstetten,107.0,10.0
2020-11-06,Amstetten,127.0,12.0
2020-11-07,Amstetten,83.0,9.0
2020-11-08,Amstetten,121.0,8.0
2020-11-09,Amstetten,114.0,10.0
2020-11-10,Amstetten,140.0,10.0
2020-11-11,Amstetten,102.0,10.0
2020-11-12,Amstetten,115.0,10.0
2020-11-13,Amstetten,124.0,12.0
2020-11-14,Amstetten,115.0,8.0
2020-11-15,Amstetten,131.0,7.0
2020-11-16,Amstetten,126.0,9.0
2020-11-17,Amstetten,136.0,16.0
2020-11-18,Amstetten,77.0,15.0
2020-11-19,Amstetten,148.0,17.0
2020-11-20,Amstetten,164.0,18.0
2020-11-21,Amstetten,155.0,13.0
2020-11-22,Amstetten,40.0,10.0
2020-11-23,Amstetten,117.0,15.0
2020-11-24,Amstetten,82.0,15.0
2020-11-25,Amstetten,128.0,15.0
2020-11-26,Amstetten,104.0,16.0
2020-11-27,Amstetten,92.0,17.0
2020-11-28,Amstetten,68.0,13.0
2020-11-29,Amstetten,82.0,9.0
2020-11-30,Amstetten,74.0,13.0
2020-12-01,Amstetten,66.0,14.0
2020-12-02,Amstetten,66.0,14.0
2020-12-03,Amstetten,73.0,15.0
2020-12-04,Amstetten,72.0,16.0
2020-12-05,Amstetten,86.0,11.0
2020-12-06,Amstetten,50.0,9.0
2020-12-07,Amstetten,69.0,12.0
2020-12-08,Amstetten,55.0,26.0
2020-12-09,Amstetten,43.0,8.0
2020-12-10,Amstetten,81.0,10.0
2020-12-11,Amstetten,65.0,11.0
2020-12-12,Amstetten,75.0,8.0
2020-12-13,Amstetten,65.0,9.0
2020-12-14,Amstetten,74.0,8.0
2020-12-15,Amstetten,49.0,8.0
2020-12-16,Amstetten,72.0,8.0
2020-12-17,Amstetten,60.0,9.0
2020-12-18,Amstetten,47.0,10.0
2020-12-19,Amstetten,53.0,8.0
2020-12-20,Amstetten,48.0,8.0
2020-12-21,Amstetten,47.0,8.0
2020-12-22,Amstetten,75.0,10.0
2020-12-23,Amstetten,56.0,11.0
2020-12-24,Amstetten,54.0,24.0
2020-12-25,Amstetten,13.0,24.0
2020-12-26,Amstetten,59.0,15.0
2020-12-27,Amstetten,51.0,7.0
2020-12-28,Amstetten,43.0,23.0
2020-12-29,Amstetten,96.0,21.0
2020-12-30,Amstetten,63.0,20.0
2020-12-31,Amstetten,56.0,22.0
2021-01-01,Amstetten,34.0,30.0
2021-01-02,Amstetten,36.0,14.0
2021-01-03,Amstetten,38.0,9.0
2021-01-04,Amstetten,47.0,19.0
2021-01-05,Amstetten,37.0,18.0
2021-01-06,Amstetten,45.0,29.0
2021-01-07,Amstetten,28.0,18.0
2021-01-08,Amstetten,47.0,18.0
2021-01-09,Amstetten,36.0,12.0
2021-01-10,Amstetten,42.0,8.0
2021-01-11,Amstetten,23.0,12.0
2021-01-12,Amstetten,31.0,13.0
2021-01-13,Amstetten,20.0,12.0
2021-01-14,Amstetten,15.0,14.0
2021-01-15,Amstetten,28.0,14.0
2021-01-16,Amstetten,19.0,10.0
2021-01-17,Amstetten,27.0,6.0
2021-01-18,Amstetten,27.0,12.0
2021-01-19,Amstetten,25.0,11.0
2021-01-20,Amstetten,14.0,11.0
2021-01-21,Amstetten,23.0,12.0
2021-01-22,Amstetten,9.0,13.0
2021-01-23,Amstetten,16.0,11.0
2021-01-24,Amstetten,9.0,7.0
2021-01-25,Amstetten,29.0,11.0
2021-01-26,Amstetten,24.0,13.0
2021-01-27,Amstetten,22.0,11.0
2021-01-28,Amstetten,16.0,13.0
2021-01-29,Amstetten,23.0,14.0
2021-01-30,Amstetten,13.0,10.0
2021-01-31,Amstetten,10.0,7.0
2021-02-01,Amstetten,16.0,10.0
2021-02-02,Amstetten,26.0,11.0
2021-02-03,Amstetten,21.0,10.0
2021-02-04,Amstetten,19.0,11.0
2021-02-05,Amstetten,25.0,12.0
2021-02-06,Amstetten,13.0,9.0
2021-02-07,Amstetten,14.0,7.0
2021-02-08,Amstetten,18.0,8.0
2021-02-09,Amstetten,19.0,8.0
2021-02-10,Amstetten,21.0,8.0
2021-02-11,Amstetten,18.0,10.0
2021-02-12,Amstetten,14.0,10.0
2021-02-13,Amstetten,10.0,6.0
2021-02-14,Amstetten,7.0,5.0
2021-02-15,Amstetten,22.0,7.0
2021-02-16,Amstetten,8.0,9.0
2021-02-17,Amstetten,12.0,8.0
2021-02-18,Amstetten,8.0,7.0
2021-02-19,Amstetten,13.0,10.0
2021-02-20,Amstetten,21.0,6.0
2021-02-21,Amstetten,15.0,5.0
2021-02-22,Amstetten,11.0,6.0
2021-02-23,Amstetten,7.0,6.0
2021-02-24,Amstetten,16.0,6.0
2021-02-25,Amstetten,13.0,7.0
2021-02-26,Amstetten,13.0,8.0
2021-02-27,Amstetten,28.0,6.0
2021-02-28,Amstetten,8.0,3.0
2021-03-01,Amstetten,5.0,6.0
2021-03-02,Amstetten,23.0,7.0
2021-03-03,Amstetten,18.0,6.0
2021-03-04,Amstetten,3.0,7.0
2021-03-05,Amstetten,15.0,11.0
2021-03-06,Amstetten,15.0,5.0
2021-03-07,Amstetten,13.0,3.0
2021-03-08,Amstetten,10.0,6.0
2021-03-09,Amstetten,13.0,6.0
2021-03-10,Amstetten,14.0,8.0
2021-03-11,Amstetten,16.0,8.0
2021-03-12,Amstetten,28.0,9.0
2021-03-13,Amstetten,20.0,4.0
2021-03-14,Amstetten,6.0,8.0
2021-03-15,Amstetten,33.0,7.0
2021-03-16,Amstetten,21.0,8.0
2021-03-17,Amstetten,37.0,7.0
2021-03-18,Amstetten,46.0,8.0
2021-03-19,Amstetten,60.0,10.0
2021-03-20,Amstetten,30.0,8.0
2021-03-21,Amstetten,36.0,8.0
2021-03-22,Amstetten,55.0,8.0
2021-03-23,Amstetten,53.0,8.0
2021-03-24,Amstetten,71.0,7.0
2021-03-25,Amstetten,27.0,6.0
2021-03-26,Amstetten,62.0,7.0
2021-03-27,Amstetten,33.0,6.0
2021-03-28,Amstetten,78.0,3.0
2021-03-29,Amstetten,73.0,6.0
2021-03-30,Amstetten,31.0,6.0
2021-03-31,Amstetten,70.0,4.0
2021-04-01,Amstetten,69.0,11.0
2021-04-02,Amstetten,69.0,15.0
2021-04-03,Amstetten,94.0,11.0
2021-04-04,Amstetten,61.0,6.0
2021-04-05,Amstetten,28.0,25.0
2021-04-06,Amstetten,38.0,12.0
2021-04-07,Amstetten,21.0,12.0
2021-04-08,Amstetten,51.0,12.0
2021-04-09,Amstetten,65.0,11.0
2021-04-10,Amstetten,31.0,7.0
2021-04-11,Amstetten,45.0,4.0
2021-04-12,Amstetten,27.0,9.0
2021-04-13,Amstetten,39.0,11.0
2021-04-14,Amstetten,39.0,9.0
2021-04-15,Amstetten,37.0,10.0
2021-04-16,Amstetten,41.0,11.0
2021-04-17,Amstetten,25.0,9.0
2021-04-18,Amstetten,25.0,8.0
2021-04-19,Amstetten,33.0,9.0
2021-04-20,Amstetten,10.0,9.0
2021-04-21,Amstetten,48.0,7.0
2021-04-22,Amstetten,60.0,9.0
2021-04-23,Amstetten,18.0,9.0
2021-04-24,Amstetten,16.0,5.0
2021-04-25,Amstetten,18.0,3.0
2021-04-26,Amstetten,23.0,6.0
2021-04-27,Amstetten,33.0,7.0
2021-04-28,Amstetten,18.0,6.0
2021-04-29,Amstetten,24.0,7.0
2021-04-30,Amstetten,25.0,7.0
2021-05-01,Amstetten,9.0,8.0
2021-05-02,Amstetten,12.0,8.0
2021-05-03,Amstetten,32.0,4.0
2021-05-04,Amstetten,19.0,4.0
2021-05-05,Amstetten,14.0,6.0
2021-05-06,Amstetten,15.0,5.0
2021-05-07,Amstetten,17.0,7.0
2021-05-08,Amstetten,11.0,2.0
2021-05-09,Amstetten,8.0,0.0
2021-05-10,Amstetten,15.0,4.0
2021-05-11,Amstetten,9.0,4.0
2021-05-12,Amstetten,16.0,3.0
2021-05-13,Amstetten,7.0,28.0
2021-05-14,Amstetten,4.0,11.0
2021-05-15,Amstetten,7.0,4.0
2021-05-16,Amstetten,0.0,2.0
2021-05-17,Amstetten,10.0,5.0
2021-05-18,Amstetten,10.0,5.0
2021-05-19,Amstetten,4.0,3.0
2021-05-20,Amstetten,6.0,3.0
2021-05-21,Amstetten,12.0,3.0
2021-05-22,Amstetten,11.0,2.0
2021-05-23,Amstetten,6.0,3.0
2021-05-24,Amstetten,7.0,21.0
2021-05-25,Amstetten,11.0,3.0
2021-05-26,Amstetten,10.0,1.0
2021-05-27,Amstetten,12.0,4.0
2021-05-28,Amstetten,12.0,3.0
2021-05-29,Amstetten,7.0,3.0
2021-05-30,Amstetten,3.0,2.0
2021-05-31,Amstetten,5.0,2.0
2021-06-01,Amstetten,6.0,1.0
2021-06-02,Amstetten,3.0,-3.0
2021-06-03,Amstetten,7.0,15.0
2021-06-04,Amstetten,5.0,7.0
2021-06-05,Amstetten,2.0,1.0
2021-06-06,Amstetten,3.0,2.0
2021-06-07,Amstetten,2.0,1.0
2021-06-08,Amstetten,2.0,1.0
2021-06-09,Amstetten,5.0,1.0
2021-06-10,Amstetten,4.0,2.0
2021-06-11,Amstetten,4.0,2.0
2021-06-12,Amstetten,2.0,-1.0
2021-06-13,Amstetten,2.0,-3.0
2021-06-14,Amstetten,0.0,0.0
2021-06-15,Amstetten,1.0,0.0
2021-06-16,Amstetten,6.0,0.0
2021-06-17,Amstetten,2.0,0.0
2021-06-18,Amstetten,1.0,0.0
2021-06-19,Amstetten,2.0,-3.0
2021-06-20,Amstetten,1.0,-3.0
2021-06-21,Amstetten,0.0,1.0
2021-06-22,Amstetten,0.0,1.0
2021-06-23,Amstetten,1.0,1.0
2021-06-24,Amstetten,0.0,1.0
2021-06-25,Amstetten,1.0,2.0
2021-06-26,Amstetten,1.0,-2.0
2021-06-27,Amstetten,2.0,-3.0
2021-06-28,Amstetten,4.0,0.0
2021-06-29,Amstetten,1.0,0.0
2021-06-30,Amstetten,2.0,1.0
2021-07-01,Amstetten,0.0,1.0
2021-07-02,Amstetten,1.0,2.0
2021-07-03,Amstetten,0.0,-3.0
2021-07-04,Amstetten,0.0,-2.0
2021-07-05,Amstetten,1.0,2.0
2021-07-06,Amstetten,2.0,1.0
2021-07-07,Amstetten,2.0,1.0
2021-07-08,Amstetten,2.0,2.0
2021-07-09,Amstetten,1.0,2.0
2021-07-10,Amstetten,0.0,-4.0
2021-07-11,Amstetten,0.0,-2.0
2021-07-12,Amstetten,0.0,1.0
2021-07-13,Amstetten,4.0,2.0
2021-07-14,Amstetten,4.0,2.0
2021-07-15,Amstetten,1.0,1.0
2021-07-16,Amstetten,2.0,1.0
2021-07-17,Amstetten,1.0,-1.0
2021-07-18,Amstetten,2.0,1.0
2021-07-19,Amstetten,3.0,3.0
2021-07-20,Amstetten,1.0,2.0
2020-09-01,Baden,3.0,5.0
2020-09-02,Baden,7.0,3.0
2020-09-03,Baden,4.0,2.0
2020-09-04,Baden,2.0,2.0
2020-09-05,Baden,7.0,-4.0
2020-09-06,Baden,11.0,1.0
2020-09-07,Baden,7.0,2.0
2020-09-08,Baden,8.0,2.0
2020-09-09,Baden,15.0,1.0
2020-09-10,Baden,10.0,1.0
2020-09-11,Baden,23.0,-1.0
2020-09-12,Baden,5.0,-4.0
2020-09-13,Baden,3.0,-4.0
2020-09-14,Baden,12.0,-1.0
2020-09-15,Baden,11.0,0.0
2020-09-16,Baden,9.0,1.0
2020-09-17,Baden,13.0,3.0
2020-09-18,Baden,8.0,2.0
2020-09-19,Baden,13.0,-2.0
2020-09-20,Baden,15.0,-2.0
2020-09-21,Baden,4.0,1.0
2020-09-22,Baden,14.0,2.0
2020-09-23,Baden,12.0,4.0
2020-09-24,Baden,12.0,2.0
2020-09-25,Baden,5.0,6.0
2020-09-26,Baden,15.0,3.0
2020-09-27,Baden,8.0,0.0
2020-09-28,Baden,6.0,5.0
2020-09-29,Baden,9.0,5.0
2020-09-30,Baden,12.0,4.0
2020-10-01,Baden,11.0,3.0
2020-10-02,Baden,17.0,3.0
2020-10-03,Baden,11.0,1.0
2020-10-04,Baden,21.0,0.0
2020-10-05,Baden,9.0,2.0
2020-10-06,Baden,17.0,2.0
2020-10-07,Baden,21.0,4.0
2020-10-08,Baden,22.0,3.0
2020-10-09,Baden,31.0,2.0
2020-10-10,Baden,12.0,1.0
2020-10-11,Baden,16.0,4.0
2020-10-12,Baden,15.0,3.0
2020-10-13,Baden,12.0,6.0
2020-10-14,Baden,26.0,5.0
2020-10-15,Baden,8.0,5.0
2020-10-16,Baden,15.0,6.0
2020-10-17,Baden,16.0,3.0
2020-10-18,Baden,12.0,3.0
2020-10-19,Baden,19.0,3.0
2020-10-20,Baden,33.0,4.0
2020-10-21,Baden,31.0,5.0
2020-10-22,Baden,38.0,4.0
2020-10-23,Baden,34.0,4.0
2020-10-24,Baden,39.0,2.0
2020-10-25,Baden,33.0,2.0
2020-10-26,Baden,31.0,18.0
2020-10-27,Baden,54.0,7.0
2020-10-28,Baden,48.0,6.0
2020-10-29,Baden,50.0,8.0
2020-10-30,Baden,89.0,8.0
2020-10-31,Baden,39.0,3.0
2020-11-01,Baden,78.0,3.0
2020-11-02,Baden,65.0,7.0
2020-11-03,Baden,84.0,11.0
2020-11-04,Baden,84.0,12.0
2020-11-05,Baden,63.0,11.0
2020-11-06,Baden,93.0,11.0
2020-11-07,Baden,61.0,8.0
2020-11-08,Baden,57.0,8.0
2020-11-09,Baden,81.0,10.0
2020-11-10,Baden,72.0,11.0
2020-11-11,Baden,82.0,11.0
2020-11-12,Baden,56.0,12.0
2020-11-13,Baden,70.0,12.0
2020-11-14,Baden,73.0,8.0
2020-11-15,Baden,55.0,7.0
2020-11-16,Baden,58.0,8.0
2020-11-17,Baden,90.0,17.0
2020-11-18,Baden,54.0,16.0
2020-11-19,Baden,50.0,18.0
2020-11-20,Baden,74.0,18.0
2020-11-21,Baden,47.0,12.0
2020-11-22,Baden,21.0,9.0
2020-11-23,Baden,49.0,14.0
2020-11-24,Baden,43.0,16.0
2020-11-25,Baden,52.0,16.0
2020-11-26,Baden,35.0,17.0
2020-11-27,Baden,33.0,17.0
2020-11-28,Baden,59.0,12.0
2020-11-29,Baden,37.0,9.0
2020-11-30,Baden,42.0,14.0
2020-12-01,Baden,50.0,15.0
2020-12-02,Baden,49.0,16.0
2020-12-03,Baden,45.0,16.0
2020-12-04,Baden,58.0,16.0
2020-12-05,Baden,29.0,11.0
2020-12-06,Baden,38.0,9.0
2020-12-07,Baden,28.0,12.0
2020-12-08,Baden,43.0,25.0
2020-12-09,Baden,14.0,10.0
2020-12-10,Baden,57.0,11.0
2020-12-11,Baden,28.0,11.0
2020-12-12,Baden,22.0,8.0
2020-12-13,Baden,26.0,7.0
2020-12-14,Baden,44.0,8.0
2020-12-15,Baden,25.0,10.0
2020-12-16,Baden,78.0,10.0
2020-12-17,Baden,26.0,10.0
2020-12-18,Baden,30.0,10.0
2020-12-19,Baden,28.0,8.0
2020-12-20,Baden,24.0,8.0
2020-12-21,Baden,23.0,8.0
2020-12-22,Baden,54.0,10.0
2020-12-23,Baden,48.0,12.0
2020-12-24,Baden,22.0,21.0
2020-12-25,Baden,25.0,24.0
2020-12-26,Baden,26.0,14.0
2020-12-27,Baden,27.0,9.0
2020-12-28,Baden,33.0,21.0
2020-12-29,Baden,53.0,21.0
2020-12-30,Baden,37.0,21.0
2020-12-31,Baden,19.0,23.0
2021-01-01,Baden,44.0,30.0
2021-01-02,Baden,31.0,12.0
2021-01-03,Baden,53.0,10.0
2021-01-04,Baden,44.0,19.0
2021-01-05,Baden,37.0,19.0
2021-01-06,Baden,54.0,29.0
2021-01-07,Baden,40.0,19.0
2021-01-08,Baden,54.0,18.0
2021-01-09,Baden,22.0,11.0
2021-01-10,Baden,25.0,9.0
2021-01-11,Baden,31.0,13.0
2021-01-12,Baden,50.0,15.0
2021-01-13,Baden,46.0,15.0
2021-01-14,Baden,19.0,16.0
2021-01-15,Baden,24.0,15.0
2021-01-16,Baden,28.0,10.0
2021-01-17,Baden,26.0,7.0
2021-01-18,Baden,40.0,12.0
2021-01-19,Baden,45.0,14.0
2021-01-20,Baden,15.0,14.0
2021-01-21,Baden,31.0,15.0
2021-01-22,Baden,27.0,15.0
2021-01-23,Baden,28.0,11.0
2021-01-24,Baden,25.0,7.0
2021-01-25,Baden,25.0,12.0
2021-01-26,Baden,23.0,14.0
2021-01-27,Baden,26.0,14.0
2021-01-28,Baden,26.0,15.0
2021-01-29,Baden,21.0,16.0
2021-01-30,Baden,28.0,10.0
2021-01-31,Baden,22.0,7.0
2021-02-01,Baden,24.0,12.0
2021-02-02,Baden,12.0,13.0
2021-02-03,Baden,28.0,14.0
2021-02-04,Baden,26.0,13.0
2021-02-05,Baden,39.0,14.0
2021-02-06,Baden,36.0,9.0
2021-02-07,Baden,20.0,8.0
2021-02-08,Baden,34.0,9.0
2021-02-09,Baden,26.0,10.0
2021-02-10,Baden,42.0,11.0
2021-02-11,Baden,42.0,12.0
2021-02-12,Baden,19.0,13.0
2021-02-13,Baden,26.0,8.0
2021-02-14,Baden,18.0,7.0
2021-02-15,Baden,35.0,8.0
2021-02-16,Baden,37.0,11.0
2021-02-17,Baden,42.0,11.0
2021-02-18,Baden,54.0,10.0
2021-02-19,Baden,55.0,12.0
2021-02-20,Baden,41.0,7.0
2021-02-21,Baden,27.0,7.0
2021-02-22,Baden,63.0,9.0
2021-02-23,Baden,37.0,9.0
2021-02-24,Baden,66.0,10.0
2021-02-25,Baden,53.0,10.0
2021-02-26,Baden,64.0,10.0
2021-02-27,Baden,103.0,7.0
2021-02-28,Baden,34.0,6.0
2021-03-01,Baden,55.0,7.0
2021-03-02,Baden,60.0,9.0
2021-03-03,Baden,39.0,9.0
2021-03-04,Baden,47.0,10.0
2021-03-05,Baden,96.0,13.0
2021-03-06,Baden,78.0,7.0
2021-03-07,Baden,55.0,5.0
2021-03-08,Baden,52.0,8.0
2021-03-09,Baden,68.0,10.0
2021-03-10,Baden,73.0,11.0
2021-03-11,Baden,67.0,11.0
2021-03-12,Baden,97.0,11.0
2021-03-13,Baden,65.0,6.0
2021-03-14,Baden,20.0,8.0
2021-03-15,Baden,73.0,9.0
2021-03-16,Baden,49.0,10.0
2021-03-17,Baden,77.0,10.0
2021-03-18,Baden,67.0,11.0
2021-03-19,Baden,131.0,12.0
2021-03-20,Baden,73.0,9.0
2021-03-21,Baden,65.0,8.0
2021-03-22,Baden,74.0,9.0
2021-03-23,Baden,74.0,11.0
2021-03-24,Baden,53.0,10.0
2021-03-25,Baden,72.0,9.0
2021-03-26,Baden,79.0,10.0
2021-03-27,Baden,52.0,6.0
2021-03-28,Baden,73.0,5.0
2021-03-29,Baden,79.0,9.0
2021-03-30,Baden,52.0,9.0
2021-03-31,Baden,80.0,8.0
2021-04-01,Baden,45.0,14.0
2021-04-02,Baden,68.0,17.0
2021-04-03,Baden,74.0,11.0
2021-04-04,Baden,38.0,8.0
2021-04-05,Baden,35.0,23.0
2021-04-06,Baden,52.0,15.0
2021-04-07,Baden,46.0,15.0
2021-04-08,Baden,32.0,15.0
2021-04-09,Baden,56.0,13.0
2021-04-10,Baden,28.0,7.0
2021-04-11,Baden,32.0,6.0
2021-04-12,Baden,27.0,11.0
2021-04-13,Baden,49.0,15.0
2021-04-14,Baden,37.0,14.0
2021-04-15,Baden,37.0,14.0
2021-04-16,Baden,30.0,14.0
2021-04-17,Baden,28.0,10.0
2021-04-18,Baden,33.0,8.0
2021-04-19,Baden,14.0,11.0
2021-04-20,Baden,33.0,12.0
2021-04-21,Baden,22.0,12.0
2021-04-22,Baden,38.0,13.0
2021-04-23,Baden,30.0,12.0
2021-04-24,Baden,34.0,6.0
2021-04-25,Baden,28.0,5.0
2021-04-26,Baden,24.0,9.0
2021-04-27,Baden,28.0,10.0
2021-04-28,Baden,15.0,9.0
2021-04-29,Baden,22.0,9.0
2021-04-30,Baden,12.0,9.0
2021-05-01,Baden,8.0,8.0
2021-05-02,Baden,8.0,8.0
2021-05-03,Baden,23.0,6.0
2021-05-04,Baden,9.0,6.0
2021-05-05,Baden,15.0,9.0
2021-05-06,Baden,11.0,8.0
2021-05-07,Baden,10.0,9.0
2021-05-08,Baden,6.0,3.0
2021-05-09,Baden,4.0,2.0
2021-05-10,Baden,7.0,5.0
2021-05-11,Baden,6.0,6.0
2021-05-12,Baden,9.0,6.0
2021-05-13,Baden,8.0,28.0
2021-05-14,Baden,5.0,11.0
2021-05-15,Baden,2.0,6.0
2021-05-16,Baden,9.0,4.0
2021-05-17,Baden,7.0,7.0
2021-05-18,Baden,10.0,6.0
2021-05-19,Baden,22.0,5.0
2021-05-20,Baden,4.0,6.0
2021-05-21,Baden,6.0,3.0
2021-05-22,Baden,5.0,2.0
2021-05-23,Baden,4.0,4.0
2021-05-24,Baden,7.0,21.0
2021-05-25,Baden,8.0,5.0
2021-05-26,Baden,4.0,4.0
2021-05-27,Baden,8.0,6.0
2021-05-28,Baden,5.0,4.0
2021-05-29,Baden,4.0,1.0
2021-05-30,Baden,4.0,3.0
2021-05-31,Baden,4.0,3.0
2021-06-01,Baden,4.0,3.0
2021-06-02,Baden,0.0,0.0
2021-06-03,Baden,4.0,16.0
2021-06-04,Baden,3.0,6.0
2021-06-05,Baden,8.0,0.0
2021-06-06,Baden,5.0,0.0
2021-06-07,Baden,11.0,2.0
2021-06-08,Baden,11.0,3.0
2021-06-09,Baden,3.0,3.0
2021-06-10,Baden,6.0,3.0
2021-06-11,Baden,0.0,3.0
2021-06-12,Baden,2.0,0.0
2021-06-13,Baden,1.0,-1.0
2021-06-14,Baden,2.0,1.0
2021-06-15,Baden,3.0,2.0
2021-06-16,Baden,8.0,2.0
2021-06-17,Baden,3.0,2.0
2021-06-18,Baden,9.0,2.0
2021-06-19,Baden,3.0,-2.0
2021-06-20,Baden,0.0,-2.0
2021-06-21,Baden,2.0,2.0
2021-06-22,Baden,0.0,3.0
2021-06-23,Baden,3.0,3.0
2021-06-24,Baden,6.0,4.0
2021-06-25,Baden,2.0,3.0
2021-06-26,Baden,2.0,-2.0
2021-06-27,Baden,2.0,-2.0
2021-06-28,Baden,3.0,1.0
2021-06-29,Baden,1.0,1.0
2021-06-30,Baden,4.0,2.0
2021-07-01,Baden,3.0,2.0
2021-07-02,Baden,1.0,3.0
2021-07-03,Baden,1.0,-3.0
2021-07-04,Baden,0.0,-2.0
2021-07-05,Baden,0.0,2.0
2021-07-06,Baden,0.0,3.0
2021-07-07,Baden,2.0,3.0
2021-07-08,Baden,2.0,3.0
2021-07-09,Baden,2.0,3.0
2021-07-10,Baden,3.0,-4.0
2021-07-11,Baden,4.0,-2.0
2021-07-12,Baden,4.0,2.0
2021-07-13,Baden,5.0,3.0
2021-07-14,Baden,5.0,4.0
2021-07-15,Baden,5.0,3.0
2021-07-16,Baden,2.0,2.0
2021-07-17,Baden,6.0,1.0
2021-07-18,Baden,2.0,1.0
2021-07-19,Baden,7.0,2.0
2021-07-20,Baden,2.0,3.0
2020-09-01,Bludenz,2.0,4.0
2020-09-02,Bludenz,0.0,2.0
2020-09-03,Bludenz,2.0,1.0
2020-09-04,Bludenz,6.0,0.0
2020-09-05,Bludenz,1.0,
2020-09-06,Bludenz,2.0,
2020-09-07,Bludenz,2.0,3.0
2020-09-08,Bludenz,7.0,1.0
2020-09-09,Bludenz,10.0,-1.0
2020-09-10,Bludenz,8.0,0.0
2020-09-11,Bludenz,11.0,-1.0
2020-09-12,Bludenz,2.0,-4.0
2020-09-13,Bludenz,5.0,
2020-09-14,Bludenz,8.0,0.0
2020-09-15,Bludenz,3.0,-1.0
2020-09-16,Bludenz,10.0,-1.0
2020-09-17,Bludenz,7.0,0.0
2020-09-18,Bludenz,9.0,0.0
2020-09-19,Bludenz,5.0,
2020-09-20,Bludenz,5.0,
2020-09-21,Bludenz,2.0,0.0
2020-09-22,Bludenz,2.0,1.0
2020-09-23,Bludenz,4.0,3.0
2020-09-24,Bludenz,2.0,2.0
2020-09-25,Bludenz,4.0,6.0
2020-09-26,Bludenz,1.0,6.0
2020-09-27,Bludenz,1.0,2.0
2020-09-28,Bludenz,3.0,3.0
2020-09-29,Bludenz,0.0,4.0
2020-09-30,Bludenz,0.0,2.0
2020-10-01,Bludenz,3.0,2.0
2020-10-02,Bludenz,8.0,2.0
2020-10-03,Bludenz,6.0,4.0
2020-10-04,Bludenz,3.0,2.0
2020-10-05,Bludenz,3.0,2.0
2020-10-06,Bludenz,2.0,2.0
2020-10-07,Bludenz,3.0,2.0
2020-10-08,Bludenz,7.0,2.0
2020-10-09,Bludenz,10.0,2.0
2020-10-10,Bludenz,7.0,5.0
2020-10-11,Bludenz,8.0,5.0
2020-10-12,Bludenz,11.0,4.0
2020-10-13,Bludenz,3.0,3.0
2020-10-14,Bludenz,12.0,2.0
2020-10-15,Bludenz,16.0,4.0
2020-10-16,Bludenz,12.0,5.0
2020-10-17,Bludenz,14.0,4.0
2020-10-18,Bludenz,11.0,3.0
2020-10-19,Bludenz,12.0,3.0
2020-10-20,Bludenz,7.0,3.0
