,prov,N_pop,N_coloc,cases,deaths,contact_rate,short_range_movement,mid_range_movement,Country
2021-02-16,Agrigento,17337.758147398446,2543.0,224.0,8.0,56.268532235222864,0.8972860686053995,0.0429042809617014,Italy
2021-02-23,Agrigento,17234.490392458978,2362.0,153.0,4.0,55.57590393958965,0.8824168111714739,0.0514687346354923,Italy
2021-03-02,Agrigento,17259.7757823027,2365.0,194.0,6.0,52.74443567635645,0.8067319697467517,0.0471421070333724,Italy
2021-03-09,Agrigento,17447.337977960018,2450.0,291.0,4.0,55.96988597068158,0.8807835912078488,0.0469788306790931,Italy
2021-03-16,Agrigento,17420.171851842475,2427.0,363.0,5.0,54.17945353536979,0.8815742353666239,0.0457855641428493,Italy
2021-03-23,Agrigento,17647.57039568222,2478.0,454.0,6.0,54.74762842292525,0.8880915968673224,0.0397399087385993,Italy
2021-03-30,Agrigento,17597.410674111226,2261.0,566.0,5.0,54.38146559561486,0.8780182693159845,0.0423069259111694,Italy
2021-04-06,Agrigento,18244.561655116733,2094.0,569.0,10.0,55.74920314666663,0.8285942942263012,0.0387065090988492,Italy
2021-04-13,Agrigento,17849.835593568467,2312.0,737.0,8.0,53.30191485021554,0.8659587117144136,0.0436066805120903,Italy
2021-04-20,Agrigento,17794.93588769452,2324.0,586.0,12.0,54.01673738962381,0.8750652983187636,0.0417613462606428,Italy
2021-04-27,Agrigento,17749.062312707083,2216.0,510.0,11.0,57.56200121255522,0.8731278348737933,0.0438242314405391,Italy
2021-05-04,Agrigento,17482.48837839136,1994.0,398.0,12.0,55.80630010413876,0.79369082348276,0.0468058669937674,Italy
2021-05-11,Agrigento,17482.468308374082,2296.0,303.0,9.0,55.97269846946811,0.7968757528977728,0.0481836751072742,Italy
2021-05-18,Agrigento,17396.04523848546,2272.0,244.0,2.0,52.52514857822965,0.7920308388474124,0.0487421508056929,Italy
2021-05-25,Agrigento,17349.870401153243,2175.0,238.0,6.0,52.25097736242635,0.6971669209564915,0.0515086645950822,Italy
2021-06-01,Agrigento,17354.564322477592,1976.0,214.0,6.0,51.21035094599412,0.7018885414206031,0.0532953310914054,Italy
2021-06-08,Agrigento,17440.552685566974,1956.0,172.0,2.0,48.40328110876818,0.5702384487160056,0.0513810443482728,Italy
2021-06-15,Agrigento,17158.475144969583,1891.0,146.0,4.0,47.33424479783196,0.5646684288440307,0.0525416408535032,Italy
2021-06-22,Agrigento,16717.44593852364,1749.0,106.0,0.9999999999999996,45.767145300948265,0.4403772373584916,0.0541710107298788,Italy
2021-06-29,Agrigento,16829.476284190867,1744.0,98.0,0.0,44.13087615695562,0.4340354401774147,0.054841017395292,Italy
2021-07-06,Agrigento,17202.394613594814,1789.0,78.0,0.9999999999999996,44.64150262956109,0.4550068034179192,0.0565416291634604,Italy
2021-07-13,Agrigento,17828.720955493132,1867.0,103.0,0.0,46.005699480619285,0.5201500022004039,0.0561288230361234,Italy
2021-07-20,Agrigento,18599.588025150948,1786.0,381.0,0.9999999999999996,47.98225148704327,0.5317524819435109,0.0539859266594342,Italy
2020-09-01,Alessandria,26831.269560286328,3749.0,28.0,0.0,55.38926466977792,0.648506856140618,0.0780606616365288,Italy
2020-09-08,Alessandria,27063.432836422075,3651.0,36.0,0.0,57.63596016222072,0.630109154734314,0.0819824678298401,Italy
2020-09-15,Alessandria,27485.58772357166,2918.0,44.0,0.0,75.5609511273768,0.6313915074766155,0.1006327398859992,Italy
2020-09-22,Alessandria,27754.997709082283,3461.0,43.0,2.0,67.67668024396002,0.6338372346263195,0.089756490221232,Italy
2020-09-29,Alessandria,27620.92913477313,3781.0,76.0,0.0,62.50749863064882,0.6319167588047832,0.0901013042419094,Italy
2020-10-06,Alessandria,27758.67074261193,4001.0,102.0,0.0,61.95359644803006,0.6412006351825271,0.0866075456584415,Italy
2020-10-13,Alessandria,27639.20565169856,4045.0,175.0,11.0,59.58803703886996,0.6413962702281705,0.0909761122910524,Italy
2020-10-20,Alessandria,27811.522933890185,4005.0,439.0,7.0,63.191957278203446,0.6436611150856673,0.0830935694745636,Italy
2020-10-27,Alessandria,27963.581559067432,4111.0,838.0,12.999999999999996,62.193990327008976,0.6519077424388149,0.0877707787949457,Italy
2020-11-03,Alessandria,27730.71841774391,4164.0,1370.0,30.0,62.11252360579692,0.6516257944068308,0.0749890199067791,Italy
2020-11-10,Alessandria,27489.52944757956,4187.0,1814.0,57.0,60.88812171992682,0.6609429470336857,0.0723225227496411,Italy
2020-11-17,Alessandria,27275.29943502114,4137.0,2343.0,52.0,59.9446261542721,0.6762382589076337,0.0601333695137262,Italy
2020-11-24,Alessandria,27175.871734834127,4105.0,1658.0,79.0,59.563621393890905,0.6732194387429227,0.0649164396284181,Italy
2020-12-01,Alessandria,27092.34520414541,4124.0,1500.0,57.0,61.22684285910688,0.6682801073371886,0.0668855179635827,Italy
